Problem Statement,Summary
"▼💎 Build an Innovative Application on top of 1inch Network's Fusion API ⸺ $8,000   ① $4,000        ② $2,500        ③ $1,500    Build an innovative application that leverages the power of 1inch Network's Fusion API. Your application should provide unique functionalities and value-added features to users within the Defi ecosystem.
Criteria:
1 - Utilize the 1inch Network's Fusion API to access and interact with the Fusion protocol.
2 - The utilization of Fusion API should have a meaningful purposeQualification RequirementsYour application should be an open-source project accompanied by clear documentation explaining its usage. Focus on demonstrating the unique value your application brings to the 1inch Network ecosystem while ensuring a seamless and secure user experience.Links and Resources1inch Network's Fusion API documentationhttps://docs.1inch.io/docs/fusion-swap/introduction↗","Problem Statement: Build an innovative application that leverages the power of 1inch Network's Fusion API to provide unique functionalities and value-added features to users within the Defi ecosystem.

Prize: $8,000 prize, with $4,000 for the first place, $2,500 for the second place, and $1,500 for the third place.

Qualification Criteria:
1. Utilize the 1inch Network's Fusion API to access and interact with the Fusion protocol.
2. The utilization of Fusion API should have a meaningful purpose.

Additional Requirements:
- The application should be an open-source project.
- Clear documentation explaining the usage of the application.
- Demonstrate the unique value the application brings to the 1inch Network ecosystem.
- Ensure a seamless and secure user experience."
"▼🪙 Build Innovative Solutions on top of 1inch Network's Token Plugins ⸺ $6,000   ① $3,000        ② $2,000        ③ $1,000    1inch recently announced new library that introduces an extendable and secure system for ERC20-based tokens. By subscribing an account to various plugins, users can dynamically enhance the functionality of their tokens. Technically plugins are a collection of smart contracts that track changes in ERC20 token balances and perform supplementary accounting tasks for those balances. They are particularly useful when you need to track, for example, token shares without actually transferring tokens to an accounting contract.
Try to hack using such library. That is it.
Criteria:
1 - Use https://github.com/1inch/token-plugins
2 - The utilization of token-plugins should have a meaningful purposeLinks and ResourcesToken plugins Repohttps://github.com/1inch/token-plugins↗Anton Bukov talk about token pluginshttps://www.youtube.com/watch?v=a9uCqWmH-HE↗","Problem Statement: The problem is to build innovative solutions using 1inch Network's Token Plugins.

Prize: The prize for this challenge is $6,000, with $3,000 for the first place, $2,000 for the second place, and $1,000 for the third place.

Qualification Criteria:
1. Use the token-plugins library available at https://github.com/1inch/token-plugins.
2. The utilization of token-plugins should serve a meaningful purpose."
"▼🦄 Enhance your app with 1inch Developer Portal APIs ⸺ $6,000   ① $3,000        ② $2,000        ③ $1,000    1inch Developer Portal do have multiple APIs (Balances, Fiat Prices, Portfolio, Swap, Limit Order). Use any of it to enhance your project. Apps with the best use cases will be eligible for bounties Qualification Requirements1 - Use 1inch dev portal APIs (Any of it)
2 - The utilization of 1inch Developer Portal should have a meaningful purposeLinks and Resources1inch dev portal APIshttp://portal.1inch.dev↗","Problem Statement: Enhance your app using the 1inch Developer Portal APIs.

Prize: $6,000 in total, divided into three prizes: 
① $3,000
② $2,000
③ $1,000

Qualification Criteria: 
1. Use any of the APIs provided by the 1inch Developer Portal (Balances, Fiat Prices, Portfolio, Swap, Limit Order).
2. The utilization of the 1inch Developer Portal APIs should serve a meaningful purpose in your project."
"▼🏆 Most unique projects in the Filecoin Ecosystem ⸺ $9,000   ① $3,000        ② $3,000        ③ $3,000    Best innovations that turn current web services and applications into more open, equitable, secure, and resilient. Using one or several decentralized technologies from Protocol Labs Network qualifies for this track.Qualifying tech: Filecoin, FVM (Filecoin Virtual Machine), NFT.Storage/Lighthouse.Storage, Filecoin Saturn. Bonus points for building out project ideas unique to the Filecoin Ecosystem!
Qualification RequirementsAll projects using Qualifying tech, will be considered. List of ideas we are excited about:
Programmatic Storage: Best solutions & tools built on/for FVM to enable programmatic data storage & retrieval, for data clients and/or storage providers on the Filecoin network
    - DataDAOs: Build meaningful DataDAOs & DAO tooling solutions on FVM to enable curation, use, storage, analysis, monetization, and/or governance of valuable datasets using FVM DataDAO starter kit
    - State/storage integration: Build services that retrieve, store and interact with small pieces of data on IPFS through FVM smart contracts. Bonus points for implementing storage and reward disbursement
DeFi: Best DeFi tools and services built on FVM for token-holders and 3000+ storage providersLinks and ResourcesTech Stack Overview of all projectshttps://www.notion.so/ecosystem-wg/Getting-Started-With-Protocol-Labs-Tech-stack-d906467ce53b4acf84765e61863d9d85↗Latest workshops from Open Data Hackhttps://www.youtube.com/watch?v=iYcPLyD3JLQ&list=PLfEHHr3qexv_R_8bfgT1_5x4rN-rmd138&index=3↗Interplanetary Consensus Websitehttps://ipc.space/↗InterPlanetary Consenses Quick Starthttps://docs.ipc.space/quickstarts↗FVM Official Sitehttps://fvm.filecoin.io/↗FVM Quick Start Guidehttps://docs.filecoin.io/smart-contracts/fundamentals/erc-20-quickstart/↗FVM Hackathon Cheat Sheethttps://github.com/filecoin-project/awesome-filecoin/blob/main/fvm.md↗Filecoin Saturn Resourceshttps://docs.saturn.tech/↗Storage (on-ramps) Helpers Docs: NFT.Storagehttps://nft.storage/docs/↗Storage (on-ramps) Helpers Docs: Lighthouse.Storagehttps://www.lighthouse.storage/documentation↗","Problem Statement: The challenge is to develop unique projects in the Filecoin Ecosystem that turn current web services and applications into more open, equitable, secure, and resilient systems.

Prize: The prize is $9,000, which will be divided into three awards of $3,000 each.

Qualification Criteria: Projects must use one or several decentralized technologies from the Protocol Labs Network, including Filecoin, FVM (Filecoin Virtual Machine), NFT.Storage/Lighthouse.Storage, and Filecoin Saturn. Bonus points will be given for building projects ideas unique to the Filecoin Ecosystem.

Specific Project Ideas:
1. Programmatic Storage: Develop solutions and tools using FVM to enable programmatic data storage and retrieval for data clients and/or storage providers on the Filecoin network.
2. DataDAOs: Build meaningful DataDAOs and DAO tooling solutions using FVM to facilitate curation, use, storage, analysis, monetization, and/or governance of valuable datasets using a FVM DataDAO starter kit.
3. State/Storage Integration: Create services that interact with small pieces of data on IPFS through FVM smart contracts, providing storage and reward disbursement functionality. Bonus points for implementing storage and reward disbursement.
4. DeFi: Develop DeFi tools and services on FVM for token-holders and more than 3,000 storage providers.

Resources:
- Tech Stack Overview of all projects
- Latest workshops from Open Data Hack
- Interplanetary Consensus Website
- InterPlanetary Consenses Quick Start
- FVM Official Site
- FVM Quick Start Guide
- FVM Hackathon Cheat Sheet
- Filecoin Saturn Resources
- Storage (on-ramps) Helpers Docs: NFT.Storage
- Storage (on-ramps) Helpers Docs: Lighthouse.Storage"
"▼🏊 Unique Projects in Filecoin Ecosystem (up to 15 teams) ⸺ $11,000Split evenly between all qualifying projectsPrize to be awarded up to 15 teams, capped at $1000 per team - for innovations that turn current web services and applications into more open, equitable, secure, and resilient. Using one or several decentralized technologies from Protocol Labs Network qualifies for this track.
Qualifying tech: Filecoin, FVM (Filecoin Virtual Machine), NFT.Storage/Lighthouse.Storage, Filecoin Saturn. Bonus points for building out project ideas unique to the Filecoin Ecosystem!
Note: For the pool prize, the cap is $1000 per team. If less than 11 teams qualify for the pool prize, each team gets $1000.Qualification RequirementsAll projects using Qualifying tech, will be considered. List of ideas we are excited about:
- Programmatic Storage: Best solutions & tools built on/for FVM to enable programmatic data storage & retrieval, for data clients and/or storage providers on the Filecoin network
- DataDAOs: Build meaningful DataDAOs & DAO tooling solutions on FVM to enable curation, use, storage, analysis, monetization, and/or governance of valuable datasets using FVM DataDAO starter kit
- State/storage integration: Build services that retrieve, store and interact with small pieces of data on IPFS through FVM smart contracts. Bonus points for implementing storage and reward disbursement
- Best DeFi tools and services built on FVM for token-holders and 3000+ storage providersLinks and ResourcesLatest Workshops from Open Data Hackhttps://www.youtube.com/watch?v=iYcPLyD3JLQ&list=PLfEHHr3qexv_R_8bfgT1_5x4rN-rmd138&index=3↗FVM Hackathon Cheat Sheethttps://github.com/filecoin-project/awesome-filecoin/blob/main/fvm.md↗Filecoin Saturn Resourceshttps://docs.saturn.tech/↗Storage (on-ramps) Helper Docs: NFT.Storagehttps://nft.storage/docs/↗Storage (on-ramps) Helper Docs: Lighthouse.Storagehttps://www.lighthouse.storage/documentation↗","Problem Statement: The problem statement is to encourage projects that turn current web services and applications into more open, equitable, secure, and resilient using decentralized technologies from the Protocol Labs Network.

Prize: The prize for this track is a pool of $11,000, split evenly between all qualifying projects. The prize is capped at $1000 per team.

Qualification Criteria: To qualify for the prize, projects must use one or several decentralized technologies from the Protocol Labs Network, including Filecoin, FVM (Filecoin Virtual Machine), NFT.Storage/Lighthouse.Storage, and Filecoin Saturn. Bonus points are given for building project ideas unique to the Filecoin Ecosystem. All projects using these qualifying technologies will be considered.

List of Ideas: The organizers are excited about several project ideas, including programmatic storage solutions using FVM, building DataDAOs and DAO tooling on FVM for datasets, services that retrieve, store, and interact with data on IPFS through FVM smart contracts, and DeFi tools and services built on FVM. Bonus points are given for implementing storage and reward disbursement in these projects."
"▼🚀 Deploy on Scroll ⸺ $7,000Split evenly between all qualifying projectsThis should just mean changing your RPC!\\\* Try out Scroll's next-generation zk-rollup by deploying your project's smart contracts on the Scroll testnet on Sepolia. With Scroll's zkEVM, users will benefit from lower costs, shorter block times, and higher throughput -- without you needing to modify your Solidity code.
Qualification RequirementsDeploy and verify your smart contract on scroll.
Make sure to inlcude both the contract address and link to scroll-etherscan in your github read me.","Problem Statement: The problem is to deploy and test smart contracts on the Scroll testnet using Scroll's zkEVM technology.

Prize: The prize is $7,000, which will be split evenly among all qualifying projects.

Qualification Criteria: To qualify for the prize, participants need to deploy and verify their smart contracts on Scroll's testnet. They must include both the contract address and a link to the Scroll-Etherscan in their GitHub readme file."
"▼🥇 Best on Scroll ⸺ $10,000   ① $1,000        ② $1,000        ③ $1,000        ④ $1,000        ⑤ $1,000        ⑥ $1,000        ⑦ $1,000        ⑧ $1,000        ⑨ $1,000        ⑩ $1,000    You're here to build the latest in greatest in web3 on Ethereum — we want to see it deployed on Scroll. Use Scroll's Sepolia Testnet for your deployment of a novel DeFi application — we're compatible with the EVM at the bytecode level, so all your Solidity, Vyper, or YUL should just work with the change of an RPC address.Qualification Requirements- Project contracts must be deployed on Scroll Sepolia and verified on the Scroll Etherscan
- Add the contract address and link to scroll-etherscan in your Github ReadMe!
- Project must have a working flow
- Project that excite us, include some of the following:
    - Solve a tangible problem or build a relevant use usecase
    - Provide value to developers/community in terms of public good
- ""super-nerdy"" not necessarily product-market fit, but a cool geeky project","Problem Statement: Build the latest and greatest web3 application on Ethereum, deployed on Scroll's Sepolia Testnet, focusing on a novel DeFi application.

Prize: The Best on Scroll prize is $10,000, with 10 individual prizes of $1,000 each.

Qualification Criteria:
1. Project contracts must be deployed on Scroll Sepolia and verified on the Scroll Etherscan platform.
2. The contract address and link to Scroll-Etherscan must be added in the project's GitHub ReadMe.
3. The project must have a working flow.
4. Projects that solve a tangible problem or build a relevant use case, and provide value to developers and the community in terms of public good are preferred.
5. ""Super-nerdy"" projects are encouraged, with an emphasis on cool geeky ideas, rather than solely focusing on product-market fit."
"▼🏆 Best overall use of Waku ⸺ $4,000This prize will be given to the most impressive project using Waku to solve a communication challenge
Qualification RequirementsTraditional chat-only applications will not be considered for the prize, although adding chat functions as a feature will not disqualify your project.","Problem Statement: Create an impressive project using Waku to solve a communication challenge.

Prize: $4,000 for the best overall use of Waku.

Qualification Criteria: Traditional chat-only applications will not be considered for the prize. However, adding chat functions as a feature will not disqualify the project."
"▼🥷 Best privacy-focused project using Waku ⸺ $1,500This prize will be given to the most impressive privacy-focused project using Waku to solve a communication challenge.Qualification RequirementsTraditional chat-only applications will not be considered for the prize, although adding chat functions as a feature will not disqualify your project.","Problem statement: Develop a privacy-focused project using Waku to address a communication challenge.

Prize: $1,500 will be awarded to the most impressive project.

Qualification criteria: Traditional chat-only applications will not be considered for the prize, but projects that add chat functions as a feature will still be eligible."
"▼🤝 Best game or marketplace using Waku ⸺ $1,500This prize will be given to the most impressive game or a marketplace project using Waku to solve a communication challenge.Qualification RequirementsTraditional chat-only applications will not be considered for the prize, although adding chat functions as a feature will not disqualify your project.","Problem Statement: Create the best game or marketplace project using Waku to solve a communication challenge.

Prize: $1,500

Qualification Criteria: The project must use Waku to solve a communication challenge. Traditional chat-only applications will not be considered for the prize, although adding chat functions as a feature will not disqualify the project."
"▼🚀 Most innovative use of Waku ⸺ $1,500This prize will be given to the most innovative use of Waku to solve a communication challenge.Qualification RequirementsTraditional chat-only applications will not be considered for the prize, although adding chat functions as a feature will not disqualify your project.","Problem Statement: The problem is to find the most innovative use of Waku to solve a communication challenge.

Prize: The prize is $1,500.

Qualification Criteria: Traditional chat-only applications will not be considered for the prize. However, projects that add chat functions as a feature will not be disqualified."
"▼🗳️ Best network state goods using Waku ⸺ $1,500Waku serves as the communications layer for the Logos technology stack. Bring us one step closer to building a network state by hacking a key communications solution using one of the Waku protocols.Qualification RequirementsTraditional chat-only applications will not be considered for the prize, although adding chat functions as a feature will not disqualify your project.","Problem Statement: Develop a key communications solution using one of the Waku protocols to contribute towards building a network state.

Prize: $1,500

Qualification Criteria: Traditional chat-only applications will not qualify for the prize, however, adding chat functions as a feature will not disqualify the project."
"▼🏆 Powerloom Master ⸺ $3,000Recognizing the project that demonstrates the highest level of innovation, impact, and technical excellence using Powerloom.
Each project will be rated by the team and assigned a score between 1 - 10 (separate for Track 1 and Track 2). There will be a cumulative dashboard for the top prize of $3,000 with a score calculated as `""1.5 * track1score"" and ""track2score"".Qualification Requirements- Must leverage Powerloom's snapshotter node or API.
- Showcase exceptional creativity, impact, and technical implementation.","Problem Statement: The problem statement is not explicitly mentioned in the given information.

Prize: The prize for the Powerloom Master competition is $3,000.

Qualification Criteria:
- Must leverage Powerloom's snapshotter node or API.
- Showcase exceptional creativity, impact, and technical implementation.
- Each project will be rated by the team and assigned a score between 1 - 10 for Track 1 and Track 2.
- The cumulative dashboard will calculate the top prize of $3,000 based on the scores, using the formula ""1.5 * track1score"" and ""track2score""."
"▼🚀 Data Dynamo ⸺ $3,000   ① $2,000        ② $1,000    Awarded to projects that excel in generating data through Powerloom's snapshotter node.Qualification Requirements- Effective use of the snapshotter node.
- Demonstrated creativity and utility in leveraging data.","Problem Statement: The Data Dynamo competition aims to identify and reward projects that excel in generating data through Powerloom's snapshotter node.

Prize: The total prize pool for the Data Dynamo competition is $3,000, with $2,000 awarded to the first prize winner and $1,000 awarded to the second prize winner.

Qualification Criteria: To be eligible for the Data Dynamo competition, participants must meet the following requirements:
1. Effective use of the snapshotter node: Projects should demonstrate a thorough understanding of how to utilize Powerloom's snapshotter node effectively.
2. Demonstrated creativity and utility in leveraging data: Participants are expected to showcase innovative and practical applications of data leveraging, highlighting creativity and usefulness in their projects."
"▼🌐 Data Maestro ⸺ $3,000   ① $2,000        ② $1,000    Recognizing projects that leverage Powerloom's data to build impactful and user-friendly applications.Qualification Requirements- Innovative use of Powerloom-generated data.
- User-friendly and impactful application development.","Problem Statement: The Data Maestro competition aims to recognize projects that use Powerloom's data to develop impactful and user-friendly applications.

Prize: The winner of the competition will receive a prize of $3,000, while the runner-up will receive $2,000 and the second runner-up will receive $1,000.

Qualification Criteria: To qualify for the competition, participants must meet the following requirements: 
1. Innovative use of Powerloom-generated data.
2. Development of a user-friendly and impactful application."
"▼💡 Powerloom Contributor ⸺ $1,000Up to 4 teams will receive $250Awarded to individuals or teams contributing meaningfully to Powerloom's ecosystem, not limited to the top positions in tracks.Qualification Requirements- Significant contribution to Powerloom's development or community.
- Not restricted to track winners.","Problem Statement: Powerloom is seeking individuals or teams who have made significant contributions to their ecosystem.

Prize: The prize is $1,000, to be divided among up to 4 teams, with each team receiving $250.

Qualification Criteria: To qualify for the prize, individuals or teams must have made a meaningful contribution to Powerloom's development or community. It is not necessary to be a winner in any specific track, as the prize is not limited to top positions."
"▼📈 Best DeFi Project ⸺ $2,500Up to 2 teams will receive $1,250Inspire the next frontier of DeFi on Mantle. Whether it's integrating with real-world assets (RWAs), creating a novel lending or staking protocol, or designing a new liquidity mining mechanism, your project should highlight the limitless potential of DeFi on Mantle.Qualification Requirements1. The submission must be deployed on Mantle testnet or mainnet (include a link to smart contract deployed on Mantle Explorer)
2. A video demo and GitHub repo must be submitted.","Problem Statement: The problem statement for this competition is to inspire the next frontier of decentralized finance (DeFi) on the Mantle platform. Participants are encouraged to create innovative projects that showcase the limitless potential of DeFi on Mantle, such as integrating with real-world assets, developing novel lending or staking protocols, or designing new liquidity mining mechanisms.

Prize: The prize for the Best DeFi Project is $2,500. Additionally, up to two teams will each receive $1,250.

Qualification Criteria:
1. The submission must be deployed on the Mantle testnet or mainnet. Participants need to include a link to the smart contract deployed on the Mantle Explorer.
2. Participants must provide a video demonstration of their project and submit the corresponding GitHub repository."
"▼👾 Best NFT, Social, or Gaming Project ⸺ $2,500Build an engaging NFT, Social or Gaming project with innovative onchain solutions. Ideas:
- NFT & AR use cases
- Location-based minting
- Arcade and mini-games
- Games on Telegram
- Mobile-first games
- Classic games (chess, backgammon)
- Gamification and leaderboards
- Chat platformsQualification Requirements1. The submission must be deployed on Mantle testnet or mainnet (include a link to smart contract deployed on Mantle Explorer)
2. A video demo and GitHub repo must be submitted","Problem Statement: Create an engaging NFT, Social, or Gaming project with innovative onchain solutions.

Prize: $2,500

Qualification Criteria:
1. The submission must be deployed on Mantle testnet or mainnet (include a link to the smart contract deployed on Mantle Explorer).
2. A video demo and GitHub repo must be submitted."
"▼📲 Best UX ⸺ $2,500One of the most challenging problems in Web3 is creating an intuitive and seamless User Experience for dApps. Build a dApp that raises the bar for UX in some way. Make sure to explain in your submission in detail what you’ve done to make UX more accessible. Ideas:
- Create a user-friendly mobile application or PWA
- Design a seamless onboarding flow for first-time crypto users
- Develop an adaptive interface that caters to both novice and expert users
- Gasless transactions
- Walletless logins
- Web2-like application experienceQualification Requirements1. The submission must be deployed on Mantle testnet or mainnet (include a link to smart contract deployed on Mantle Explorer)
2. A video demo and GitHub repo must be submitted","Problem Statement: The problem is creating an intuitive and seamless User Experience (UX) for dApps in the Web3 space.

Prize: The prize for this challenge is $2,500.

Qualification Criteria:
- The submission must be deployed on Mantle testnet or mainnet, and a link to the smart contract deployed on Mantle Explorer must be provided.
- A video demo of the dApp and a GitHub repository must be submitted."
"▼🛠 Best Infrastructure & Tooling Project ⸺ $2,500Drive the future of the Ethereum ecosystem with tools that enhance the developer experience. We're looking for inventive solutions that simplify, optimize, and supercharge development on Ethereum, using Mantle's infrastructure.
Ideas:
- Build a visual smart contract builder that simplifies the creation of complex contract logic
- Develop an analytics tool that provides insights into dApp performance and user interactions
- Create a library that facilitates seamless integrations for Ethereum applications across various L2sQualification Requirements- The project must be integrated with Mantle in some way (Please indicate how the project works on Mantle. Include a link to explorer if a smart contract is deployed on Mantle)
- A video demo and GitHub repo must be submitted","Problem Statement: The problem is the need for inventive solutions to enhance the developer experience on Ethereum by simplifying, optimizing, and supercharging development using Mantle's infrastructure.

Prize: The prize for the Best Infrastructure & Tooling Project is $2,500.

Qualification Criteria:
- The project must be integrated with Mantle in some way.
- The project must indicate how it works on Mantle and include a link to the explorer if a smart contract is deployed on Mantle.
- A video demo and GitHub repo must be submitted."
